observation_id,observer_id,instrument,target_name,angle_deg,observed_at
AST-PILOT-001-OBS-001,OBS-0001,quadrant,Dubhe,32.5,2026-07-26T04:22:57Z
AST-PILOT-001-OBS-002,OBS-0001,quadrant,Dubhe,32.5,2026-07-26T04:24:02Z
AST-PILOT-001-OBS-003,OBS-0001,quadrant,Merak,29.6,2026-07-26T04:26:56Z
AST-PILOT-001-OBS-004,OBS-0001,quadrant,Phecda,35.75,2026-07-26T04:28:03Z
AST-PILOT-001-OBS-005,OBS-0001,quadrant,Alioth,44.75,2026-07-26T04:28:45Z
AST-PILOT-001-OBS-006,OBS-0001,quadrant,Mizar,49,2026-07-26T04:29:48Z
AST-PILOT-001-OBS-007,OBS-0001,quadrant,Alkaid,53.5,2026-07-26T04:30:19Z
AST-PILOT-001-OBS-008,OBS-0001,quadrant,Polaris,33.5,2026-07-26T04:33:33Z
AST-PILOT-001-OBS-009,OBS-0001,quadrant,Kochab,49.25,2026-07-26T04:35:00Z
