observation_id,observer_id,instrument,target_name,angle_deg,observed_at
CMP-0001,OBS-0001,compass,Dubhe,316,2026-07-28T04:26:26Z
CMP-0002,OBS-0001,compass,Merok,310,2026-07-28T04:28:20Z
CMP-0003,OBS-0001,compass,Phecda,306,2026-07-28T04:29:12Z
CMP-0004,OBS-0001,compass,Megrez,309,2026-07-28T04:32:12Z
CMP-0005,OBS-0001,compass,Alioth,305,2026-07-28T04:34:16Z
CMP-0006,OBS-0001,compass,Mizar,304,2026-07-28T04:34:50Z
CMP-0007,OBS-0001,compass,Alkaid,297,2026-07-28T04:35:55Z
CMP-0008,OBS-0001,compass,Polaris,345,2026-07-28T04:37:00Z
CMP-0009,OBS-0001,compass,Kochab,329,2026-07-28T04:37:45Z
